                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.95265,                 1.9407,                0.80698,                0.98244,                0.90713,                0.82263,                0.86336,                0.75484,                0.88688,                0.80332,                0.83157,                 0.6466,                0.82479,                 1.0449,                0.65166,                0.91319,             0.00010225,             0.00010225,             0.00010225
                     59,                0.94029,                 1.9203,                0.80227,                0.99438,                0.91095,                0.80964,                0.87213,                0.75021,                0.90565,                0.77853,                 0.8356,                0.65095,                0.81021,                 1.0307,                0.63771,                0.91067,             0.00010202,             0.00010202,             0.00010202
                     60,                0.94021,                 1.9022,                0.80345,                0.98637,                0.87446,                0.81876,                0.86433,                0.74779,                 0.8991,                0.77595,                0.83422,                0.65899,                0.81529,                 1.0278,                 0.6278,                 0.9192,             0.00010179,             0.00010179,             0.00010179
                     61,                0.96016,                 1.9081,                0.81012,                0.98653,                 0.8642,                0.78836,                0.84968,                 0.7339,                0.86056,                0.78799,                0.82751,                0.65366,                0.81959,                 1.0253,                0.64871,                0.91739,             0.00010157,             0.00010157,             0.00010157
                     62,                 0.9558,                 1.9517,                  0.825,                0.99893,                0.87051,                0.81026,                0.85865,                0.73525,                0.87433,                0.81471,                0.84711,                0.64306,                0.79424,                 1.0086,                0.65287,                 0.9167,             0.00010134,             0.00010134,             0.00010134
                     63,                0.94547,                 1.9232,                 0.8009,                 0.9822,                0.89766,                0.83929,                 0.8736,                0.75662,                 0.8846,                0.81803,                 0.8492,                0.66496,                0.80563,                 1.0084,                0.62101,                0.90567,             0.00010111,             0.00010111,             0.00010111
                     64,                0.96342,                 1.9555,                0.81347,                0.98922,                0.88072,                0.82787,                0.86946,                0.74709,                0.86639,                0.80916,                0.84393,                0.66285,                0.79128,                0.99919,                0.62507,                0.90479,             0.00010088,             0.00010088,             0.00010088
                     65,                0.96466,                 1.8787,                0.81814,                 1.0034,                0.85903,                0.83488,                0.86325,                 0.7516,                0.85942,                0.81565,                0.84911,                0.66274,                0.77911,                 1.0263,                0.63879,                0.89991,             0.00010065,             0.00010065,             0.00010065
                     66,                0.99117,                 1.9829,                0.83887,                 1.0103,                0.86577,                0.80872,                 0.8475,                0.74121,                0.86025,                0.80476,                0.84152,                0.65492,                0.80495,                 1.0181,                0.65349,                0.90871,             0.00010043,             0.00010043,             0.00010043
                     67,                0.96528,                 1.9467,                0.92773,                0.99916,                0.82154,                0.81026,                0.85626,                0.73057,                0.82061,                 0.7947,                0.84716,                0.64355,                0.79325,                 1.0261,                0.63786,                0.89956,              0.0001002,              0.0001002,              0.0001002
                     68,                0.98255,                 2.0288,                 0.8679,                 1.0188,                0.86948,                 0.8319,                0.87548,                0.75109,                0.86047,                0.81032,                0.85176,                0.65727,                0.78037,                 1.0129,                0.61641,                0.90068,             9.9972e-05,             9.9972e-05,             9.9972e-05
                     69,                0.97565,                 1.9613,                0.83823,                 1.0157,                0.89707,                0.82991,                0.87693,                0.75609,                0.92836,                0.80205,                0.85611,                0.65434,                0.76818,                 1.0175,                0.62698,                0.90225,             9.9744e-05,             9.9744e-05,             9.9744e-05
                     70,                 1.0073,                 1.9722,                0.83047,                 1.0082,                0.90436,                0.81158,                  0.876,                0.75556,                0.91021,                0.78483,                0.85384,                0.66187,                0.76715,                 1.0132,                0.60901,                0.89067,             9.9516e-05,             9.9516e-05,             9.9516e-05
                     71,                0.96884,                 1.9418,                0.83293,                 1.0001,                 0.8184,                0.82834,                0.87603,                0.75772,                0.88039,                0.78184,                0.85382,                 0.6554,                0.75154,                 1.0514,                0.60314,                0.88506,             9.9289e-05,             9.9289e-05,             9.9289e-05
                     72,                0.97349,                 1.9697,                0.83576,                 1.0072,                0.88837,                0.81809,                0.87268,                0.74291,                0.88438,                 0.8048,                0.85604,                0.65816,                 0.7754,                 1.0341,                0.62366,                0.89012,             9.9061e-05,             9.9061e-05,             9.9061e-05
                     73,                0.97321,                 1.9203,                0.84885,                 1.0017,                0.88636,                0.81276,                0.86753,                0.73352,                0.86845,                0.80092,                0.84517,                0.64922,                0.78785,                 1.0233,                0.63512,                0.89948,             9.8833e-05,             9.8833e-05,             9.8833e-05
                     74,                0.97784,                 1.9423,                0.83146,                 1.0171,                0.90339,                0.80419,                0.85736,                0.71954,                0.88627,                0.79382,                0.83133,                0.64426,                0.79785,                 1.0348,                0.64357,                 0.9129,             9.8606e-05,             9.8606e-05,             9.8606e-05
                     75,                0.98354,                 2.0068,                0.83343,                 1.0048,                0.80635,                  0.832,                0.86333,                0.71886,                0.79297,                 0.8206,                0.83331,                0.63799,                0.83208,                 1.0218,                0.64398,                 0.9283,             9.8378e-05,             9.8378e-05,             9.8378e-05
